sample_id	cram	crai	population
HG01865	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242090/HG01865.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242090/HG01865.final.cram.crai	KHV
HG01947	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242010/HG01947.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242010/HG01947.final.cram.crai	PEL
HG01982	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242236/HG01982.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242236/HG01982.final.cram.crai	PEL
HG02047	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242343/HG02047.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242343/HG02047.final.cram.crai	KHV
HG02075	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242052/HG02075.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242052/HG02075.final.cram.crai	KHV
HG02082	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242055/HG02082.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242055/HG02082.final.cram.crai	KHV
HG02089	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242033/HG02089.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242033/HG02089.final.cram.crai	PEL
HG02317	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242232/HG02317.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242232/HG02317.final.cram.crai	ACB
HG02382	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242273/HG02382.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242273/HG02382.final.cram.crai	CDX
HG02586	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242370/HG02586.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242370/HG02586.final.cram.crai	GWD
HG02676	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242390/HG02676.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242390/HG02676.final.cram.crai	GWD
