sample_id	cram	crai	population
NA12383	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239476/NA12383.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239476/NA12383.final.cram.crai	CEU
NA12815	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239329/NA12815.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239329/NA12815.final.cram.crai	CEU
NA18519	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239349/NA18519.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239349/NA18519.final.cram.crai	YRI
NA18547	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239358/NA18547.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239358/NA18547.final.cram.crai	CHB
NA18610	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239508/NA18610.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239508/NA18610.final.cram.crai	CHB
NA18748	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239544/NA18748.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239544/NA18748.final.cram.crai	CHB
NA18917	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239552/NA18917.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239552/NA18917.final.cram.crai	YRI
NA18942	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239393/NA18942.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239393/NA18942.final.cram.crai	JPT
NA18953	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239402/NA18953.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239402/NA18953.final.cram.crai	JPT
NA18964	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239407/NA18964.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239407/NA18964.final.cram.crai	JPT
NA18965	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239408/NA18965.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239408/NA18965.final.cram.crai	JPT
NA18977	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239565/NA18977.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239565/NA18977.final.cram.crai	JPT
NA19065	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239596/NA19065.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239596/NA19065.final.cram.crai	JPT
NA19397	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239747/NA19397.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239747/NA19397.final.cram.crai	LWK
NA19403	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239750/NA19403.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239750/NA19403.final.cram.crai	LWK
NA19669	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239905/NA19669.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239905/NA19669.final.cram.crai	MXL
NA19678	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239908/NA19678.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239908/NA19678.final.cram.crai	MXL
NA20299	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239985/NA20299.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239985/NA20299.final.cram.crai	ASW
NA20412	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240101/NA20412.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240101/NA20412.final.cram.crai	ASW
NA20507	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239790/NA20507.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239790/NA20507.final.cram.crai	TSI
NA20509	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239792/NA20509.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239792/NA20509.final.cram.crai	TSI
NA20510	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239793/NA20510.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239793/NA20510.final.cram.crai	TSI
NA20530	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239811/NA20530.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239811/NA20530.final.cram.crai	TSI
NA20785	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239858/NA20785.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239858/NA20785.final.cram.crai	TSI
NA20786	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239859/NA20786.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239859/NA20786.final.cram.crai	TSI
NA20814	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239882/NA20814.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239882/NA20814.final.cram.crai	TSI
NA20849	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240000/NA20849.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240000/NA20849.final.cram.crai	GIH
NA20881	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240020/NA20881.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240020/NA20881.final.cram.crai	GIH
NA20882	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240021/NA20882.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240021/NA20882.final.cram.crai	GIH
NA20885	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240023/NA20885.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240023/NA20885.final.cram.crai	GIH
NA20892	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240030/NA20892.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240030/NA20892.final.cram.crai	GIH
NA21101	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240056/NA21101.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240056/NA21101.final.cram.crai	GIH
NA21142	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240085/NA21142.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240085/NA21142.final.cram.crai	GIH
