sample_id	cram	crai	population
NA20806	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239874/NA20806.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239874/NA20806.final.cram.crai	TSI
NA20809	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239877/NA20809.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239877/NA20809.final.cram.crai	TSI
NA20827	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239889/NA20827.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239889/NA20827.final.cram.crai	TSI
NA20850	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240001/NA20850.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240001/NA20850.final.cram.crai	GIH
NA20870	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240013/NA20870.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240013/NA20870.final.cram.crai	GIH
NA20905	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240106/NA20905.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240106/NA20905.final.cram.crai	GIH
NA21093	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240108/NA21093.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240108/NA21093.final.cram.crai	GIH
NA21102	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240057/NA21102.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240057/NA21102.final.cram.crai	GIH
NA21106	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240061/NA21106.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240061/NA21106.final.cram.crai	GIH
NA21110	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240065/NA21110.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240065/NA21110.final.cram.crai	GIH
NA21144	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240087/NA21144.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240087/NA21144.final.cram.crai	GIH
